3.333333 7.75 0.375 2.333333 5.75 1.285714 3.391304 5.75 6.361111
5.333333 5.25 2.125 1.666667 3 1.285714 3.782609 6.25 7.916667
4.5 5.25 1.875 1 1.75 0.4285714 3.26087 3.9 4.416667
5.333333 7.75 3 2.666667 4.5 2.428571 3 5.3 4.861111
4.833333 4.75 0.875 2.666667 4 2.571429 3.695652 6.3 5.916667
5.333333 5 2.25 1 3 0.8571429 4.347826 6.65 7.5
2.833333 6 1 3.333333 6 2.857143 4.695652 6.2 4.861111
5.666667 6.25 1.875 3.666667 4.25 1.285714 3.391304 5.15 3.666667
4.5 5.75 1.5 2.666667 5.75 2.714286 4.521739 4.65 7.361111
3.5 5.25 0.75 2.666667 5 2.571429 4.130435 4.55 4.361111
3.666667 5.75 2 2 3.5 1.571429 3.73913 5.7 4.305556
5.833333 6 2.875 2.666667 4.5 2.714286 3.695652 5.15 4.138889
5.666667 4.5 4.125 2.666667 4 2.285714 5.869565 5.2 5.861111
6 5.5 1.75 4.666667 4 1.571429 5.130435 4.7 4.444444
5.833333 5.75 3.625 5 5.5 3 4 4.35 5.861111
4.666667 4.75 2.375 2.666667 4.25 0.7142857 4.086957 3.8 5.138889
4.333333 4.75 1.5 2 4 1.285714 3.695652 6.65 5.25
5 6.75 2.25 2 2.5 1.714286 4 5.25 5.444444
5.666667 5.25 4 4.333333 5.25 3.714286 3.913044 4.85 5.75
6.333333 8.75 3 3.666667 3.75 2.571429 3.478261 5.35 4.916667
5.833333 8 2 1.666667 2.5 0.5714286 2.608696 4.6 5.388889
6.666667 8.5 4.125 2 3.25 2.142857 4.478261 5.45 7
5 6.25 1.875 3.333333 5.75 3.142857 3.478261 4.6 5
3.833333 5.5 1.625 2.666667 3 1 5.826087 5.3 6.777778
5.666667 5.5 1.25 2.333333 3.75 1.285714 4.695652 4.6 4.138889
5.333333 4 3.375 1.666667 3.5 1.428571 5.73913 6.25 4.333333
5.5 5.25 4.5 2.666667 2.25 0.7142857 4.130435 5.1 4.527778
6 5 2.125 1.666667 3 1.142857 2.826087 5.55 4.416667
4.666667 6 4.25 2 3 2 5.130435 5.85 8.611111
5 4.5 0.75 2.666667 3.25 1.857143 4.652174 4.85 5.444444
3.5 5.75 1.375 2 3.5 1.857143 4.826087 6.95 5.972222
3 6 0.25 1.666667 3 1 2.043478 3.65 3.361111
5 5.25 1.75 2.666667 5.25 2 2.695652 4.3 4.805556
4.166667 6 2.375 3.333333 4.25 1.857143 5.391304 4.35 5.638889
3.333333 3.75 1.5 1.333333 3 0.8571429 2.782609 5.2 4.833333
4.833333 5.25 0.5 1.666667 4.75 1.428571 3.130435 3.75 4.916667
5.5 7 3.5 2.666667 4 2 3.826087 4 5.305556
3.833333 4.5 2.25 3 3 1.714286 4.086957 3.5 5.083333
6.333333 4 3.875 4 5.25 3.285714 5.521739 5.45 5.111111
5.833333 7.75 2.5 3 5.25 3.142857 3.217391 4.5 4.888889
3.833333 5.75 1.625 2.666667 4.25 2.142857 4.913043 5.1 4.638889
3.166667 5 1.25 1.666667 4.25 1.571429 2.826087 5.3 4.777778
1.833333 5.25 1 1.666667 3.75 0.5714286 3.956522 4.75 2.777778
4.166667 5.25 1.875 2 3 1.428571 3.956522 5.6 6.666667
6.333333 5.5 2.75 4.666667 5.5 2 5.391304 5 6.861111
6 5.5 4.5 3 4.25 1.285714 4.826087 5 5
7.166667 8.5 4 0.6666667 1 1 3.347826 6.35 6.277778
3.166667 4.75 1.375 2.666667 3.25 1.285714 6.130435 8 5.444444
4.333333 5.5 2.75 2 2.25 1 5.652174 5.9 6.055556
4.5 6.25 1.125 3.666667 5.5 2.142857 2.565217 4.8 5.527778
5.5 5.75 3.75 1.666667 2.25 0.1428571 2.347826 5.05 5.5
7 6 2.125 2.333333 4.5 1.428571 3.652174 5.15 4.777778
3.833333 7.5 3.25 0.6666667 1.5 0.1428571 3.26087 4.2 5.388889
5.166667 4.75 1.75 3.333333 3.5 2.142857 3.478261 5.1 4.194444
5 6 4.125 2 4.5 2.142857 4.173913 4.8 4.416667
5.666667 5.25 2.125 2.666667 4.5 1.428571 4.043478 5.7 5.555556
4 4.75 3.25 1.666667 3 1.714286 4.173913 5.25 5.638889
5.833333 5.25 3.875 2.666667 5.5 2.428571 3.434783 5.8 4.75
3.833333 6.5 2 1 2.5 1.285714 3.391304 4.55 4.833333
4.166667 5.75 1.75 1.333333 3 1 3.521739 6.15 3.944444
5.333333 5.75 3.375 4 5.5 2.571429 5.26087 6.2 6.138889
4 6 3.625 2.666667 5 2.142857 4.913043 5.35 4.777778
5.333333 6.75 1.375 1.666667 2.5 0.7142857 2.652174 3.85 5.333333
5.333333 5 1.25 3.333333 4.5 2.428571 5.521739 5.45 5.833333
3.666667 5.75 3.625 2.666667 5 1.428571 3.304348 4.5 5.027778
6.5 6 2.5 3.666667 4.5 3 5.695652 5.4 6.305556
4 9.25 4 3 3.75 1 3.608696 5.75 6.194444
4.666667 5.75 3.625 2.666667 2.75 1.857143 3.869565 6.1 4.25
2.833333 5 0.875 3 2.5 1.571429 6.826087 5.7 3.916667
4.666667 5 0.75 4.333333 4 2.714286 4.73913 5.95 5.416667
0.6666667 4.5 0.75 2 3 1 3.608696 5.5 4.611111
4.333333 9.25 3.375 1.333333 2.25 1.142857 3.73913 5.75 5.166667
5 4.5 2.625 1.666667 2.75 1.571429 5.26087 7.35 5.972222
5 6 3.25 3.333333 5.75 2.714286 3.478261 4.6 4.277778
4.166667 5.25 2.125 3 3.25 0.7142857 3.478261 5.7 4.583333
3.833333 5.25 2.375 1.666667 2.25 1 3.130435 5.75 4.666667
5.666667 7 2.125 4 4.75 2.285714 5.652174 5.7 6.472222
1.666667 5.75 1.375 0 1.5 1.142857 5.695652 4 5.638889
6.333333 5.5 4.125 4 3.25 1.857143 5.565217 7.35 5.75
4 5.25 2.5 1 1.5 1.857143 4.695652 5.15 5.333333
4.5 6 1.75 1.666667 2 1.571429 5.869565 6.45 6.027778
4.666667 8 4.25 3 4.75 2.428571 5.130435 5.75 5.305556
4.833333 8.25 2.25 0.3333333 2.25 0.5714286 5.347826 5.2 5.777778
4.833333 6.5 1.75 2.333333 3.5 0.7142857 5.782609 5.75 4.972222
3 5.25 0.625 1 1.5 1 4.956522 4.85 4.583333
6.333333 6.25 2.5 3.333333 5.75 3.714286 4.608696 6.85 5.472222
5.5 7 2.875 2.666667 4 0.8571429 4.086957 5.4 5.972222
5.333333 6 2.75 4 5 2.142857 5.521739 4.55 5.138889
3.333333 7.25 3.25 1.333333 1.25 0.5714286 3.565217 5.55 4.888889
5.5 5 2.25 3.666667 4.5 1.714286 4.173913 5.95 6.666667
4 6.5 2.625 2.666667 2.75 1.857143 6.652174 7.5 5.444444
3.833333 6.25 3.375 2 3.75 0.4285714 5.391304 7.8 6.111111
5.166667 4.75 2.125 1 2 1.571429 3.565217 6.4 5.722222
4.333333 3.5 0.875 2.666667 3.25 1.142857 3.608696 4.8 3.944444
4.166667 5.5 0.875 4.666667 4.75 2.142857 4.130435 5.35 3.777778
5 5.75 4.25 4 4.25 2.428571 3.565217 3.6 5.444444
4.333333 4.75 0.5 3.333333 5.75 2.857143 5.521739 5.85 4.222222
7.5 7.5 2.125 5.333333 6.75 2.714286 5.130435 5.55 7.222222
5 3.75 1.375 1.666667 2.75 1.428571 5.565217 6.1 4.611111
5.5 6.25 2.75 3.666667 4.5 3.285714 4.913043 5.15 5.75
6.166667 3.75 4.375 2.666667 3.25 1 4.26087 5.3 6.25
6.5 6.5 1.875 3.666667 3.75 1.714286 4.521739 4.4 6.583333
4.333333 7.75 1.875 4.333333 4.5 1.857143 5.869565 6.25 4.111111
4.666667 5.25 1.625 3.333333 4.5 2.857143 3.826087 4.85 4.833333
6.833333 9 4.375 2.666667 5.75 5 3 6.2 6.027778
4.5 6.5 3.125 2.666667 5.5 2.142857 6.347826 6.5 6.166667
6.833333 6.5 0.75 5.333333 5.75 3.142857 7.434783 5.7 5.194444
5.5 6.75 3.75 2.666667 2.75 2 4.173913 6.8 7
6.333333 5.5 1.625 5.666667 5.5 4 5.695652 6.4 7.527778
4.166667 4.25 2.25 3.333333 3.5 1.428571 4.478261 4.15 3.361111
5.666667 9.25 4.375 3.666667 4.75 3 3.26087 3.9 4.861111
6.333333 5.25 2.625 4.333333 4.25 1.571429 2.869565 6 5.444444
6.166667 6.25 4.25 5 3.5 1.857143 4.565217 5.35 5.444444
5.166667 6.5 1.75 4 5.25 1.857143 4.695652 4.3 6
4.166667 7.5 3.875 1 2 0.8571429 3.565217 3.95 6.333333
4.166667 5.75 1 3.666667 4.75 1.857143 4.826087 5.85 5.416667
5.166667 5.75 2.5 2.666667 4.75 2.714286 5.304348 6.85 5
4.333333 5.25 4 3 2.75 1 5.565217 6.6 6.444444
3.5 7.25 3.375 2.333333 2.25 1.142857 3.695652 5.2 5.166667
4.666667 4.75 1.625 2.666667 3.25 2 4.086957 5.55 5.444444
4.833333 6 1.5 2.666667 4.25 1.285714 5.826087 6.4 6.861111
5 5.5 2.375 3.333333 3 2 4.608696 6.4 3.305556
7.5 7 4.25 4 6.5 3.571429 3.73913 7.6 6.5
5.333333 5.25 4.125 2.333333 3.75 1.571429 3.652174 5.35 4.777778
6.166667 6.75 4.125 3.333333 5 2.857143 5 6.9 6.388889
5.333333 8.75 3.125 4.333333 4 1.142857 4 6.95 5.666667
4.333333 7 1 4.333333 5.5 3 5.130435 5.65 4.916667
4.833333 7 1.125 3.333333 5 2.285714 4.913043 5.25 4.972222
6 7.5 3.25 3 6 2.428571 3.304348 5.1 5.777778
5 4.5 1.625 2 2.75 0.5714286 4.521739 6.25 6.305556
4.166667 8 4.375 4.333333 6.25 3.142857 4.565217 7.8 7
5.666667 5.5 3.5 4 4.25 2.285714 7.26087 6.35 7.194444
5 6.25 1.75 1.333333 2 0.5714286 4.913043 6 4.805556
3.5 5.25 2.25 2 3.75 1.857143 4.695652 5.25 3.722222
7.333333 8 2.625 2.666667 5 2.428571 3.434783 6 6.166667
6.166667 7.5 3.625 4 6.25 2.571429 4.391304 5.85 6.111111
4.833333 5.25 4.5 4.333333 5.75 2.857143 3.347826 5.1 5.444444
5.666667 6.25 2.75 3.333333 5.25 2.142857 4.434783 5.15 4.555556
5.5 6.75 4.5 2.333333 4.5 2.571429 6.26087 6.55 6.888889
5.166667 5 2.5 3.333333 5.75 3 6.434783 8.3 7.083333
3.166667 3.75 1.5 3.333333 5.75 2.285714 6.043478 5.25 6.222222
5 7.5 4.5 2 1.5 0.4285714 3.304348 5.25 5.722222
7.166667 9 3.875 3.666667 5.25 4.714286 3.826087 7.1 5.777778
7.333333 6.75 4 6 6.5 6.142857 5.347826 5.75 6.611111
